,song_name,song_id,album,release_date,energy,acousticness,valence,popularity,genres,Billboard Hot 100,Debut Date,Peak Pos.,Peak Date,Wks on Chart
0,lavender haze,5jQI2r1RdgtuT8S3iG8zFC,Midnights,2022-10-21,0.436,0.258,0.0976,88,"['pop', 'electronic', 'dream pop', 'synthpop', 'electropop']",lavender haze,11.05.22,2.0,11.05.22,9.0
1,maroon,3eX0NZfLtGzoLUxPNvRfqm,Midnights,2022-10-21,0.398,0.0573,0.0374,85,"['shoegaze', 'pop', 'dream pop', 'synthpop', 'chillwave']",maroon,11.05.22,3.0,11.05.22,7.0
2,anti-hero,0V3wPSX9ygBnCm8psDIegu,Midnights,2022-10-21,0.643,0.13,0.533,96,"['pop', 'synthpop', 'pop rock']",anti-hero,11.05.22,1.0,11.05.22,9.0
3,snow on the beach,1wtOxkiel43cVs0Yux5Q4h,Midnights,2022-10-21,0.319,0.69,0.193,86,"['dream pop', 'pop', 'synthpop', 'electronic']",snow on the beach,11.05.22,4.0,11.05.22,6.0
4,"you're on your own, kid",4D7BCuvgdJlYvlX5WlN54t,Midnights,2022-10-21,0.396,0.401,0.38,85,"['pop', 'dream pop', 'synthpop', 'electronic', 'electronica']","you're on your own, kid",11.05.22,8.0,11.05.22,6.0
5,midnight rain,3rWDp9tBPQR9z6U5YyRSK4,Midnights,2022-10-21,0.363,0.69,0.23,88,"['pop', 'synthpop', 'electropop', 'electronic']",midnight rain,11.05.22,5.0,11.05.22,7.0
6,question...?,0heeNYlwOGuUSe7TgUD27B,Midnights,2022-10-21,0.502,0.2,0.106,82,"['pop', 'electronic', 'dream pop', 'synthpop']",question...?,11.05.22,7.0,11.05.22,5.0
7,vigilante shit,1xwAWUI6Dj0WGC3KiUPN0O,Midnights,2022-10-21,0.277,0.173,0.163,83,"['dark pop', 'electronic', 'pop', 'synthpop', 'electropop']",vigilante shit,11.05.22,10.0,11.05.22,6.0
8,bejeweled,3qoftcUZaUOncvIYjFSPdE,Midnights,2022-10-21,0.559,0.0618,0.433,85,"['pop', 'electronic']",bejeweled,11.05.22,6.0,11.05.22,7.0
9,labyrinth,0A1JLUlkZkp2EFrosoNQi0,Midnights,2022-10-21,0.306,0.785,0.122,80,"['pop', 'dream pop', 'synthpop']",labyrinth,11.05.22,14.0,11.05.22,5.0
10,karma,7KokYm8cMIXCsGVmUvKtqf,Midnights,2022-10-21,0.62,0.0734,0.0969,85,"['synthpop', 'pop', 'electronic', 'electronica']",karma,11.05.22,9.0,11.05.22,6.0
11,sweet nothing,0wavGRldH0AWyu2zvTz8zb,Midnights,2022-10-21,0.156,0.964,0.39,80,"['pop', 'electronic']",sweet nothing,11.05.22,15.0,11.05.22,5.0
12,mastermind,7FmYn9e7KHMXcxqGSj9LjH,Midnights,2022-10-21,0.357,0.553,0.124,81,"['pop', 'electronic', 'synthpop']",mastermind,11.05.22,13.0,11.05.22,5.0
13,willow,0lx2cLdOt3piJbcaXIV74f,evermore,2020-12-11,0.574,0.833,0.529,77,"['folk', 'alternative', 'indie folk', 'folk pop', 'indie']",willow,12.26.20,1.0,12.26.20,20.0
14,champagne problems,0sY6ZUTh4yoctD8VIXz339,evermore,2020-12-11,0.24,0.92,0.32,78,"['indie', 'alternative', 'folk', 'indie pop']",champagne problems,12.26.20,21.0,12.26.20,2.0
15,gold rush,5BK0uqwY9DNfZ630STAEaq,evermore,2020-12-11,0.462,0.83,0.353,70,"['indie', 'alternative', 'folk', 'chamber pop', 'pop', 'indie pop']",gold rush,12.26.20,40.0,12.26.20,1.0
16,'tis the damn season,7dW84mWkdWE5a6lFWxJCBG,evermore,2020-12-11,0.434,0.735,0.348,67,"['folk', 'chamber pop', 'indie', 'pop', 'rock', 'alternative']",'tis the damn season,12.26.20,39.0,12.26.20,2.0
17,tolerate it,0PurA4JVJ8YQgSVopY8fn6,evermore,2020-12-11,0.361,0.878,0.221,69,"['indie', 'alternative', 'folk', 'indie pop', 'sad']",tolerate it,12.26.20,45.0,12.26.20,1.0
18,"no body, no crime",3RaT22zZsxVYxxKR7TAaYF,evermore,2020-12-11,0.613,0.418,0.535,67,"['country', 'country rock', 'pop', 'rock']","no body, no crime",12.26.20,34.0,12.26.20,2.0
19,happiness,73YUReisjb3A9ActdLLjJQ,evermore,2020-12-11,0.334,0.87,0.211,65,"['alternative', 'folk', 'indie', 'chamber pop', 'pop']",happiness,12.26.20,52.0,12.26.20,1.0
20,dorothea,670fUmXf4KQekzbEgaXyPA,evermore,2020-12-11,0.488,0.696,0.354,64,"['folk', 'alternative', 'indie', 'folk pop']",dorothea,12.26.20,67.0,12.26.20,1.0
21,coney island,3k7ne7VmH43ZPWxPdvPUgR,evermore,2020-12-11,0.537,0.819,0.292,65,"['folk', 'alternative', 'chamber pop', 'folk pop', 'indie', 'pop']",coney island,12.26.20,63.0,12.26.20,1.0
22,ivy,19CSr8rwW05VJL2F91KFNK,evermore,2020-12-11,0.545,0.855,0.535,67,"['folk', 'indie', 'alternative', 'folk pop']",ivy,12.26.20,61.0,12.26.20,1.0
23,cowboy like me,1XjHRolIXL2M1EEOUsGGR4,evermore,2020-12-11,0.517,0.768,0.511,65,"['country', 'folk', 'alternative', 'indie pop']",cowboy like me,12.26.20,71.0,12.26.20,1.0
24,long story short,2o2sgVJIgFXk8GQjWTgI6U,evermore,2020-12-11,0.73,0.66,0.573,64,"['folk', 'indie pop', 'alternative', 'electropop', 'indie', 'pop']",long story short,12.26.20,68.0,12.26.20,1.0
25,marjorie,12ntTeqEeTg7GAVpe8Mhpl,evermore,2020-12-11,0.561,0.876,0.287,63,"['alternative', 'folk', 'indie folk', 'indie', 'pop']",marjorie,12.26.20,75.0,12.26.20,1.0
26,closure,35rdVq36LMHQX0Suw9a6tK,evermore,2020-12-11,0.704,0.835,0.92,62,"['hyperpop', 'alternative', 'folk', 'indie', 'pop', 'experimental']",closure,12.26.20,82.0,12.26.20,1.0
27,evermore,3O5osWf1rSoKMwe6E9ZaXP,evermore,2020-12-11,0.27,0.937,0.32,65,"['alternative', 'folk', 'pop', 'rock', 'alternative rock']",evermore,12.26.20,57.0,12.26.20,1.0
28,the 1,0Jlcvv8IykzHaSmj49uNW8,folklore,2020-07-24,0.357,0.757,0.172,75,"['folk', 'indie', 'indie pop', 'chamber pop', 'pop', 'alternative']",the 1,08.08.20,4.0,08.08.20,6.0
29,cardigan,4R2kfaDFhslZEMJqAFNpdd,folklore,2020-07-24,0.581,0.537,0.551,83,"['chamber pop', 'indie', 'folk', 'alternative', 'folk pop', 'pop']",cardigan,08.08.20,1.0,08.08.20,14.0
30,the last great american dynasty,2Eeur20xVqfUoM3Q7EFPFt,folklore,2020-07-24,0.662,0.467,0.706,69,"['folk', 'indie', 'pop', 'alternative', 'indie pop']",the last great american dynasty,08.08.20,13.0,08.08.20,2.0
