,song_name,genres
0,lavender haze,pop
0,lavender haze,electronic
0,lavender haze,dream pop
0,lavender haze,synthpop
0,lavender haze,electropop
1,maroon,shoegaze
1,maroon,pop
1,maroon,dream pop
1,maroon,synthpop
1,maroon,chillwave
2,anti-hero,pop
2,anti-hero,synthpop
2,anti-hero,pop rock
3,snow on the beach,dream pop
3,snow on the beach,pop
3,snow on the beach,synthpop
3,snow on the beach,electronic
4,"you're on your own, kid",pop
4,"you're on your own, kid",dream pop
4,"you're on your own, kid",synthpop
4,"you're on your own, kid",electronic
4,"you're on your own, kid",electronica
5,midnight rain,pop
5,midnight rain,synthpop
5,midnight rain,electropop
5,midnight rain,electronic
6,question...?,pop
6,question...?,electronic
6,question...?,dream pop
6,question...?,synthpop
7,vigilante shit,dark pop
7,vigilante shit,electronic
7,vigilante shit,pop
7,vigilante shit,synthpop
7,vigilante shit,electropop
8,bejeweled,pop
8,bejeweled,electronic
9,labyrinth,pop
9,labyrinth,dream pop
9,labyrinth,synthpop
10,karma,synthpop
10,karma,pop
10,karma,electronic
10,karma,electronica
11,sweet nothing,pop
11,sweet nothing,electronic
12,mastermind,pop
12,mastermind,electronic
12,mastermind,synthpop
13,willow,folk
13,willow,alternative
13,willow,indie folk
13,willow,folk pop
13,willow,indie
14,champagne problems,indie
14,champagne problems,alternative
14,champagne problems,folk
14,champagne problems,indie pop
15,gold rush,indie
15,gold rush,alternative
15,gold rush,folk
15,gold rush,chamber pop
15,gold rush,pop
15,gold rush,indie pop
16,‘tis the damn season,folk
16,‘tis the damn season,chamber pop
16,‘tis the damn season,indie
16,‘tis the damn season,pop
16,‘tis the damn season,rock
16,‘tis the damn season,alternative
17,tolerate it,indie
17,tolerate it,alternative
17,tolerate it,folk
17,tolerate it,indie pop
17,tolerate it,sad
18,"no body, no crime",country
18,"no body, no crime",country rock
18,"no body, no crime",pop
18,"no body, no crime",rock
19,happiness,alternative
19,happiness,folk
19,happiness,indie
19,happiness,chamber pop
19,happiness,pop
20,dorothea,folk
20,dorothea,alternative
20,dorothea,indie
20,dorothea,folk pop
21,coney island,folk
21,coney island,alternative
21,coney island,chamber pop
21,coney island,folk pop
21,coney island,indie
21,coney island,pop
22,ivy,folk
22,ivy,indie
22,ivy,alternative
22,ivy,folk pop
23,cowboy like me,country
23,cowboy like me,folk
23,cowboy like me,alternative
23,cowboy like me,indie pop
24,long story short,folk
24,long story short,indie pop
24,long story short,alternative
24,long story short,electropop
24,long story short,indie
24,long story short,pop
25,marjorie,alternative
25,marjorie,folk
25,marjorie,indie folk
25,marjorie,indie
25,marjorie,pop
26,closure,hyperpop
26,closure,alternative
26,closure,folk
26,closure,indie
26,closure,pop
26,closure,experimental
27,evermore,alternative
27,evermore,folk
27,evermore,pop
27,evermore,rock
27,evermore,alternative rock
28,the 1,folk
28,the 1,indie
28,the 1,indie pop
28,the 1,chamber pop
28,the 1,pop
28,the 1,alternative
29,cardigan,chamber pop
29,cardigan,indie
29,cardigan,folk
29,cardigan,alternative
29,cardigan,folk pop
29,cardigan,pop
30,the last great american dynasty,folk
30,the last great american dynasty,indie
30,the last great american dynasty,pop
30,the last great american dynasty,alternative
30,the last great american dynasty,indie pop
31,exile,folk
31,exile,alternative
31,exile,indie folk
31,exile,pop
32,my tears ricochet,folk
32,my tears ricochet,indie pop
32,my tears ricochet,pop
32,my tears ricochet,sad
32,my tears ricochet,indie
32,my tears ricochet,alternative
33,mirrorball,dream pop
33,mirrorball,folk
33,mirrorball,pop
33,mirrorball,alternative
33,mirrorball,indie
33,mirrorball,indie pop
34,seven,folk
34,seven,indie pop
34,seven,indie
34,seven,alternative
34,seven,indie folk
34,seven,pop
35,august,indie
35,august,folk
35,august,indie pop
35,august,dream pop
35,august,pop
35,august,alternative
36,this is me trying,folk
36,this is me trying,chamber pop
36,this is me trying,indie
36,this is me trying,pop
36,this is me trying,alternative
36,this is me trying,indie pop
37,illicit affairs,folk
37,illicit affairs,indie
37,illicit affairs,pop
37,illicit affairs,alternative
37,illicit affairs,indie pop
38,invisible string,folk
38,invisible string,indie
38,invisible string,pop
38,invisible string,country
38,invisible string,alternative
38,invisible string,indie pop
39,mad woman,folk
39,mad woman,indie
39,mad woman,pop
39,mad woman,alternative
39,mad woman,indie pop
40,epiphany,folk
40,epiphany,chamber pop
40,epiphany,indie
40,epiphany,pop
40,epiphany,alternative
40,epiphany,ambient
41,betty,folk
41,betty,folk pop
41,betty,country
41,betty,americana
42,peace,folk
42,peace,indie
42,peace,heavy metal
42,peace,pop
42,peace,alternative
42,peace,indie pop
43,hoax,folk
43,hoax,indie pop
43,hoax,indie
43,hoax,alternative
43,hoax,pop
43,hoax,sad
44,i forgot that you existed,pop
44,i forgot that you existed,electropop
44,i forgot that you existed,synthpop
44,i forgot that you existed,electronic
45,cruel summer,pop
45,cruel summer,synthpop
45,cruel summer,electropop
45,cruel summer,industrial pop
45,cruel summer,synthwave
46,lover,pop
46,lover,country
46,lover,country pop
46,lover,folk pop
47,the man,pop
47,the man,electropop
47,the man,synthpop
48,the archer,pop
48,the archer,synthpop
48,the archer,ambient pop
48,the archer,dream pop
48,the archer,lover
49,i think he knows,pop
49,i think he knows,synthpop
49,i think he knows,electropop
50,miss americana & the heartbreak prince,pop
50,miss americana & the heartbreak prince,electropop
50,miss americana & the heartbreak prince,synthpop
51,paper rings,pop
51,paper rings,electropop
51,paper rings,indie pop
51,paper rings,pop rock
51,paper rings,synthpop
52,cornelia street,pop
52,cornelia street,synthpop
52,cornelia street,electropop
53,death by a thousand cuts,pop
53,death by a thousand cuts,electropop
53,death by a thousand cuts,synthpop
53,death by a thousand cuts,lover
54,london boy,pop
54,london boy,synthpop
54,london boy,electropop
55,soon you'll get better,indie
55,soon you'll get better,pop
55,soon you'll get better,country
55,soon you'll get better,sad
55,soon you'll get better,country pop
56,false god,pop
56,false god,synthpop
56,false god,saxophone
57,you need to calm down,pop
57,you need to calm down,synthpop
57,you need to calm down,electropop
58,afterglow,pop
58,afterglow,synthpop
58,afterglow,electropop
58,afterglow,lover
59,me!,pop
59,me!,bubblegum pop
59,me!,pop rock
60,it's nice to have a friend,pop
60,it's nice to have a friend,electronic
60,it's nice to have a friend,electropop
60,it's nice to have a friend,indie pop
61,daylight,pop
61,daylight,synthpop
61,daylight,electronic
61,daylight,electropop
62,...ready for it?,pop
62,...ready for it?,electropop
62,...ready for it?,hip hop
62,...ready for it?,rap
63,end game,pop
63,end game,future
63,end game,rap
63,end game,trap
64,i did something bad,pop
64,i did something bad,dubstep
64,i did something bad,electropop
64,i did something bad,electronic
65,don't blame me,pop
65,don't blame me,electropop
65,don't blame me,soul
66,delicate,pop
66,delicate,electropop
66,delicate,tropical house
66,delicate,synthpop
67,look what you made me do,pop
67,look what you made me do,electropop
67,look what you made me do,dance
68,so it goes...,pop
68,so it goes...,electronic
68,so it goes...,electropop
69,gorgeous,pop
69,gorgeous,electropop
69,gorgeous,electronic
70,getaway car,pop
70,getaway car,synthpop
70,getaway car,electropop
71,king of my heart,pop
71,king of my heart,dance
71,king of my heart,electronic
71,king of my heart,electropop
72,dancing with our hands tied,pop
72,dancing with our hands tied,electropop
72,dancing with our hands tied,electronic
72,dancing with our hands tied,dance
73,dress,pop
74,this is why we can't have nice things,electropop
74,this is why we can't have nice things,pop
74,this is why we can't have nice things,hino
74,this is why we can't have nice things,electronic
74,this is why we can't have nice things,dance
75,call it what you want,pop
75,call it what you want,electropop
75,call it what you want,synthpop
76,new year's day,pop
76,new year's day,acoustic
76,new year's day,electronic
76,new year's day,electropop
77,welcome to new york,pop
77,welcome to new york,synthpop
77,welcome to new york,electropop
78,blank space,pop
79,style,pop
79,style,synthpop
80,out of the woods,pop
80,out of the woods,synthpop
81,all you had to do was stay,pop
81,all you had to do was stay,synthpop
82,shake it off,pop
82,shake it off,dance
83,i wish you would,pop
83,i wish you would,synthpop
84,bad blood,pop
84,bad blood,synthpop
85,wildest dreams,pop
85,wildest dreams,synthpop
85,wildest dreams,dream pop
86,wildest dreams,pop
86,wildest dreams,synthpop
86,wildest dreams,dream pop
87,how you get the girl,pop
87,how you get the girl,synthpop
88,this love,pop
88,this love,synthpop
89,i know places,pop
89,i know places,synthpop
90,clean,pop
90,clean,synthpop
90,clean,world
91,state of grace,pop
91,state of grace,alternative rock
91,state of grace,country
91,state of grace,epic
91,state of grace,rock
92,state of grace,pop
92,state of grace,alternative rock
92,state of grace,country
92,state of grace,epic
92,state of grace,rock
93,red,country
93,red,pop
93,red,country pop
94,red,country
94,red,pop
94,red,country pop
95,treacherous,country
95,treacherous,pop
95,treacherous,country pop
96,i knew you were trouble.,pop
96,i knew you were trouble.,dubstep
96,i knew you were trouble.,country
97,all too well,pop
97,all too well,country
97,all too well,epic
97,all too well,sad
98,all too well,pop
98,all too well,country
98,all too well,epic
98,all too well,sad
99,22,pop
99,22,country
100,22,pop
100,22,country
101,i almost do,country
101,i almost do,pop
101,i almost do,red
102,i almost do,country
102,i almost do,pop
102,i almost do,red
103,we are never ever getting back together,pop
103,we are never ever getting back together,country
103,we are never ever getting back together,country pop
103,we are never ever getting back together,red
104,we are never ever getting back together,pop
104,we are never ever getting back together,country
104,we are never ever getting back together,country pop
104,we are never ever getting back together,red
105,stay stay stay,country
105,stay stay stay,pop
105,stay stay stay,country pop
106,stay stay stay,country
106,stay stay stay,pop
106,stay stay stay,country pop
107,the last time,pop
107,the last time,piano
107,the last time,alternative rock
108,holy ground,country
108,holy ground,pop
108,holy ground,country rock
108,holy ground,country pop
109,sad beautiful tragic,country
109,sad beautiful tragic,pop
109,sad beautiful tragic,sad
109,sad beautiful tragic,country pop
110,the lucky one,country
110,the lucky one,pop
110,the lucky one,country pop
111,everything has changed,pop
111,everything has changed,acoustic
112,everything has changed,pop
112,everything has changed,acoustic
113,starlight,country
113,starlight,pop
113,starlight,red
113,starlight,country pop
114,begin again,country
114,begin again,pop
115,begin again,country
115,begin again,pop
116,mine,country
116,mine,pop
116,mine,country pop
117,sparks fly,country
117,sparks fly,pop
117,sparks fly,country pop
118,back to december,country
118,back to december,pop
118,back to december,country pop
119,speak now,country
119,speak now,pop
119,speak now,country pop
120,dear john,country
120,dear john,pop
120,dear john,country pop
121,mean,country
121,mean,pop
121,mean,country pop
122,the story of us,pop
122,the story of us,country
122,the story of us,country pop
122,the story of us,pop rock
123,never grow up,country
123,never grow up,pop
123,never grow up,country pop
124,enchanted,country
124,enchanted,pop
124,enchanted,country pop
125,better than revenge,country
125,better than revenge,pop
125,better than revenge,rock
125,better than revenge,pop rock
126,innocent,country
126,innocent,pop
126,innocent,country pop
