,song_name,song_id,album,release_date,energy,acousticness,valence,popularity,genres
0,Lavender Haze,5jQI2r1RdgtuT8S3iG8zFC,Midnights,2022-10-21,0.436,0.258,0.0976,88,"['pop', 'electronic', 'dream pop', 'synthpop', 'electropop']"
1,Maroon,3eX0NZfLtGzoLUxPNvRfqm,Midnights,2022-10-21,0.398,0.0573,0.0374,85,"['shoegaze', 'pop', 'dream pop', 'synthpop', 'chillwave']"
2,Ant,0V3wPSX9ygBnCm8psDIegu,Midnights,2022-10-21,0.643,0.13,0.533,96,"['pop', 'synthpop', 'pop rock']"
3,Snow On The Beach,1wtOxkiel43cVs0Yux5Q4h,Midnights,2022-10-21,0.319,0.69,0.193,86,"['dream pop', 'pop', 'synthpop', 'electronic']"
4,"You'Re On Your Own, Kid",4D7BCuvgdJlYvlX5WlN54t,Midnights,2022-10-21,0.396,0.401,0.38,85,"['pop', 'dream pop', 'synthpop', 'electronic', 'electronica']"
5,Midnight Rain,3rWDp9tBPQR9z6U5YyRSK4,Midnights,2022-10-21,0.363,0.69,0.23,88,"['pop', 'synthpop', 'electropop', 'electronic']"
6,Question...?,0heeNYlwOGuUSe7TgUD27B,Midnights,2022-10-21,0.502,0.2,0.106,82,"['pop', 'electronic', 'dream pop', 'synthpop']"
7,Vigilante Shit,1xwAWUI6Dj0WGC3KiUPN0O,Midnights,2022-10-21,0.277,0.173,0.163,83,"['dark pop', 'electronic', 'pop', 'synthpop', 'electropop']"
8,Bejeweled,3qoftcUZaUOncvIYjFSPdE,Midnights,2022-10-21,0.559,0.0618,0.433,85,"['pop', 'electronic']"
9,Labyrinth,0A1JLUlkZkp2EFrosoNQi0,Midnights,2022-10-21,0.306,0.785,0.122,80,"['pop', 'dream pop', 'synthpop']"
10,Karma,7KokYm8cMIXCsGVmUvKtqf,Midnights,2022-10-21,0.62,0.0734,0.0969,85,"['synthpop', 'pop', 'electronic', 'electronica']"
11,Sweet Nothing,0wavGRldH0AWyu2zvTz8zb,Midnights,2022-10-21,0.156,0.964,0.39,80,"['pop', 'electronic']"
12,Mastermind,7FmYn9e7KHMXcxqGSj9LjH,Midnights,2022-10-21,0.357,0.553,0.124,81,"['pop', 'electronic', 'synthpop']"
13,Willow,0lx2cLdOt3piJbcaXIV74f,evermore,2020-12-11,0.574,0.833,0.529,77,"['folk', 'alternative', 'indie folk', 'folk pop', 'indie']"
14,Champagne Problems,0sY6ZUTh4yoctD8VIXz339,evermore,2020-12-11,0.24,0.92,0.32,78,"['indie', 'alternative', 'folk', 'indie pop']"
15,Gold Rush,5BK0uqwY9DNfZ630STAEaq,evermore,2020-12-11,0.462,0.83,0.353,70,"['indie', 'alternative', 'folk', 'chamber pop', 'pop', 'indie pop']"
16,‘Tis The Damn Season,7dW84mWkdWE5a6lFWxJCBG,evermore,2020-12-11,0.434,0.735,0.348,67,"['folk', 'chamber pop', 'indie', 'pop', 'rock', 'alternative']"
17,Tolerate It,0PurA4JVJ8YQgSVopY8fn6,evermore,2020-12-11,0.361,0.878,0.221,69,"['indie', 'alternative', 'folk', 'indie pop', 'sad']"
18,"no body, no crime",3RaT22zZsxVYxxKR7TAaYF,evermore,2020-12-11,0.613,0.418,0.535,67,"['country', 'country rock', 'pop', 'rock']"
19,Happiness,73YUReisjb3A9ActdLLjJQ,evermore,2020-12-11,0.334,0.87,0.211,65,"['alternative', 'folk', 'indie', 'chamber pop', 'pop']"
20,Dorothea,670fUmXf4KQekzbEgaXyPA,evermore,2020-12-11,0.488,0.696,0.354,64,"['folk', 'alternative', 'indie', 'folk pop']"
21,coney island,3k7ne7VmH43ZPWxPdvPUgR,evermore,2020-12-11,0.537,0.819,0.292,65,"['folk', 'alternative', 'chamber pop', 'folk pop', 'indie', 'pop']"
